"initial_name","genus","species","scientificName","kingdom","phylum","class","order","family","db","db_code","MeasureType","Measurement","Units","Field","Code","MeasurementSource"
"Agkistrodon contortrix","Agkistrodon","contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881","AgeAtMaturity",730,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Agkistrodon contortrix","Agkistrodon","contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881","AgeAtMaturity",730,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Agkistrodon contortrix","Agkistrodon","contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881","AgeAtMaturity",912.86,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Agkistrodon contortrix","Agkistrodon","contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881","AgeAtMaturity",730,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Ambystoma barbouri","Ambystoma","barbouri","Ambystoma barbouri","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432017",NA,NA,NA,NA,NA,NA
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006","AgeAtMaturity",3.05,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006","AgeAtMaturity",3.5,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006","AgeAtMaturity",1113,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006","AgeAtMaturity",1296,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Ammospiza maritima","Ammospiza","maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Ammospiza maritima","Ammospiza","maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Ammospiza maritima","Ammospiza","maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095","AgeAtMaturity",365,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Ammospiza maritima","Ammospiza","maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Amphispiza bilineata","Amphispiza","bilineata","Amphispiza bilineata","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491757",NA,NA,NA,NA,NA,NA
"Anaxyrus woodhousii","Anaxyrus","woodhousii","Anaxyrus woodhousii","Animalia","Chordata","Amphibia","Anura","Bufonidae","gbif","GBIF:2422865","AgeAtMaturity",2,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Anaxyrus woodhousii","Anaxyrus","woodhousii","Anaxyrus woodhousii","Animalia","Chordata","Amphibia","Anura","Bufonidae","gbif","GBIF:2422865","AgeAtMaturity",2,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Arborimus albipes","Arborimus","albipes","Arborimus albipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437933","GenerationLength",589.3882991,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Arborimus longicaudus","Arborimus","longicaudus","Arborimus longicaudus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437931","GenerationLength",589.3882991,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Artemisiospiza nevadensis","Artemisiospiza","nevadensis","Artemisiospiza nevadensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:8276794",NA,NA,NA,NA,NA,NA
"Aspidoscelis sexlineata","Aspidoscelis","sexlineata","Aspidoscelis sexlineatus","Animalia","Chordata","Squamata",NA,"Teiidae","gbif","GBIF:2472425","AgeAtMaturity",10,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Aspidoscelis sexlineata","Aspidoscelis","sexlineata","Aspidoscelis sexlineatus","Animalia","Chordata","Squamata",NA,"Teiidae","gbif","GBIF:2472425","AgeAtMaturity",24,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Batrachoseps wrighti","Batrachoseps","wrighti","Batrachoseps wrighti","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431771","AgeAtMaturity",3.5,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Batrachoseps wrighti","Batrachoseps","wrighti","Batrachoseps wrighti","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431771","AgeAtMaturity",3.5,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Carphophis amoenus","Carphophis","amoenus","Carphophis amoenus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2457092",NA,NA,NA,NA,NA,NA
"Chaetodipus hispidus","Chaetodipus","hispidus","Chaetodipus hispidus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439583","GenerationLength",987.63075,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Chamaea fasciata","Chamaea","fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Chamaea fasciata","Chamaea","fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Chamaea fasciata","Chamaea","fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558","AgeAtMaturity",365,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Chamaea fasciata","Chamaea","fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Coragyps atratus","Coragyps","atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942","AgeAtMaturity",2920,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Coragyps atratus","Coragyps","atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942","AgeAtMaturity",2920,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Coragyps atratus","Coragyps","atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942","AgeAtMaturity",2921,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Coragyps atratus","Coragyps","atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942","AgeAtMaturity",2920,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Corvus ossifragus","Corvus","ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481","AgeAtMaturity",730,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Corvus ossifragus","Corvus","ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481","AgeAtMaturity",730,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Corvus ossifragus","Corvus","ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481","AgeAtMaturity",730,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Corvus ossifragus","Corvus","ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481","AgeAtMaturity",730,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
